안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
2,1,0,2,3,4,4,4,0,0,0,2,2,1,3,0.0,0
2,2,1,2,4,4,4,3,0,1,1,3,2,5,1,30.0,1
1,2,0,2,4,4,4,4,0,0,1,1,2,2,3,66.67,0
2,0,1,2,4,4,4,4,1,1,1,1,1,3,3,50.0,1
2,1,0,2,3,3,3,4,0,1,1,2,2,5,3,10.0,1
1,1,0,0,4,4,4,5,0,1,1,2,2,4,1,8.33,1
2,1,0,2,5,4,5,4,1,1,0,2,2,3,3,9.09,1
2,1,0,2,4,5,4,5,1,0,0,3,1,2,6,0.0,0
2,1,1,2,5,5,5,4,0,0,0,2,2,2,3,0.0,0
2,1,1,2,5,4,5,5,1,0,0,2,2,2,1,10.0,0
2,1,1,2,4,4,5,5,1,1,1,3,2,2,1,33.04,0
2,1,1,2,5,5,5,5,1,0,0,3,2,2,1,0.0,0
2,2,1,2,5,5,5,5,0,0,1,2,2,2,4,35.0,1
2,2,1,2,5,5,5,4,0,0,1,3,1,1,1,0.0,0
2,2,0,2,5,5,5,5,0,1,1,2,2,3,1,28.57,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,3,0.0,0
2,2,1,2,5,4,5,5,0,1,1,2,1,3,3,18.75,0
2,2,0,2,5,5,5,5,1,0,1,2,2,2,4,0.0,0
2,2,0,2,5,4,4,4,0,1,1,2,2,5,4,14.29,1
2,0,0,2,5,3,5,4,0,1,1,1,2,3,3,35.71,0
2,1,0,2,3,3,3,3,0,0,0,2,2,1,3,0.0,0
2,2,0,2,4,4,4,4,1,1,1,3,1,3,4,21.43,1
2,2,0,2,5,5,5,5,0,0,0,2,2,2,3,66.67,0
2,2,1,2,5,5,5,5,0,1,1,2,1,4,1,20.0,0
2,2,0,2,5,5,4,5,0,1,1,2,2,4,1,58.33,0
2,2,0,2,5,5,4,5,0,1,1,2,1,6,6,0.0,1
2,2,0,2,5,5,4,5,0,1,1,2,2,2,3,71.43,1
2,2,0,2,5,5,5,5,0,1,1,3,2,3,1,42.86,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,3,0.0,0
2,0,0,2,5,3,2,2,0,1,1,2,1,2,3,0.0,0
1,2,0,2,4,3,4,5,0,1,1,2,1,3,4,10.0,0
1,2,0,2,5,5,5,5,1,1,1,2,2,2,3,50.0,0
2,2,1,2,5,5,5,5,0,0,1,3,2,3,3,12.5,1
2,2,1,2,5,4,4,4,0,1,1,2,2,6,4,4.29,0
2,2,0,1,4,3,5,3,0,1,1,1,2,3,3,60.0,1
2,1,0,2,5,4,5,4,0,1,1,2,2,1,3,9.09,0
2,2,0,2,5,5,4,5,0,0,0,1,2,2,3,37.5,0
2,2,0,2,5,5,5,5,0,0,0,3,1,1,1,11.11,0
2,2,0,2,5,5,5,5,0,1,1,1,2,1,3,0.0,0
2,2,0,2,5,5,5,5,0,0,0,1,2,1,3,0.0,0
2,2,0,2,5,5,5,5,0,1,1,2,2,1,3,0.0,1
2,2,1,2,4,4,4,4,0,0,0,3,2,1,1,7.97,0
2,2,0,2,5,5,5,5,0,0,0,2,2,1,4,0.0,0
2,2,1,2,4,4,4,3,0,0,0,3,1,1,5,0.0,0
2,2,1,1,5,4,4,3,0,1,1,2,2,2,3,40.0,0
2,2,1,2,3,4,5,3,0,1,1,2,2,2,1,44.0,1
2,2,1,2,4,4,5,4,0,0,0,3,1,6,5,8.33,1
2,2,1,2,5,5,5,3,0,0,1,2,2,2,1,33.33,0
2,2,1,2,4,3,5,4,1,0,1,2,3,4,1,28.0,0
1,0,0,1,3,4,4,5,0,1,1,1,2,1,4,25.0,0
2,2,0,0,5,4,5,5,0,0,0,2,3,1,1,10.0,0
2,2,1,2,4,4,4,4,0,0,0,3,2,2,1,27.05,0
2,0,0,2,4,4,4,3,0,1,1,2,2,1,3,0.0,0
1,2,0,0,4,4,3,3,1,0,1,1,2,5,3,24.0,0
1,2,0,2,4,3,2,3,0,0,0,2,1,2,1,57.14,0
2,2,1,2,5,5,5,5,0,1,1,3,2,2,5,35.0,0
2,2,0,2,5,5,5,5,1,1,1,3,1,1,1,10.0,0
2,2,1,2,5,5,5,5,0,1,1,3,2,5,2,0.0,0
2,2,0,2,5,5,5,5,0,1,1,2,2,6,3,66.67,0
2,2,1,2,5,5,5,4,0,0,1,3,2,2,3,4.0,0
2,2,1,2,5,5,5,4,0,0,0,3,1,1,5,0.0,0
2,2,0,2,5,5,5,5,0,0,1,1,2,1,3,0.0,0
2,2,0,2,5,5,5,5,0,1,1,1,3,3,3,22.22,0
2,2,0,2,5,5,5,5,0,0,0,2,2,1,4,20.0,0
2,2,0,2,5,5,5,5,0,1,1,2,2,3,3,48.48,0
2,2,0,2,5,5,4,5,0,0,1,1,2,1,3,0.0,0
2,2,0,2,5,5,4,5,0,0,1,2,2,2,3,28.57,0
2,2,0,2,5,5,5,5,0,1,1,3,2,5,1,10.0,0
2,2,0,2,5,5,4,5,0,1,1,3,1,1,1,40.0,0
2,2,0,2,5,5,5,5,0,1,1,3,2,4,1,46.67,1
2,2,0,2,5,5,5,5,0,1,1,3,1,2,1,23.2,1
2,2,0,2,5,5,5,5,0,1,1,3,2,2,1,30.3,0
2,2,0,2,5,5,4,5,1,1,1,3,2,4,1,80.0,1
2,2,0,2,5,5,5,5,0,1,1,3,2,1,1,16.67,0
2,2,0,2,5,5,5,5,0,0,0,2,2,1,3,0.0,0
2,2,0,2,5,5,4,5,0,0,0,2,2,2,3,0.0,0
2,2,0,2,5,5,5,5,0,1,1,3,2,5,1,18.04,1
